3;0
3;1
3;2
3;3
3;4
3;5
3;6
3;7
3;8
3;9
3;10
3;11
3;12
3;13
3;14
3;15
3;16
3;17
3;18
3;19
3;20
3;21
3;22
3;23
3;24
3;25
3;26
3;27
4;27
5;27
5;25
6;25
7;25
7;24
7;23
7;22
6;22
5;22
5;23
5;24
6;24
6;23
6;27
7;27
8;27
9;27
10;27
9;25
10;25
10;24
10;23
10;22
9;22
9;23
9;24
11;27
12;27
12;22
12;23
12;24
12;25
12;26
13;22
14;22
15;22
16;22
16;23
16;24
16;25
16;26
16;27
5;20
6;20
7;20
7;19
7;18
7;17
7;16
6;16
5;16
5;17
5;18
5;19
6;19
6;18
6;17
7;14
7;13
6;13
5;13
4;13
4;14
5;14
6;14
5;11
6;11
7;11
4;0
5;0
6;0
12;0
11;0
10;0
9;0
8;0
7;0
5;2
6;2
6;2
7;2
7;3
7;4
7;5
6;5
5;5
5;4
5;3
6;3
6;4
7;7
7;8
7;9
7;10
5;10
5;9
5;8
5;7
6;7
6;8
6;9
6;10
9;5
10;5
10;4
10;3
10;2
9;2
9;3
9;4
12;5
12;4
12;3
12;2
12;1
13;5
14;5
15;5
16;5
16;4
16;3
16;2
16;1
16;0
9;7
9;8
16;7
16;8
15;7
14;7
13;7
12;7
11;7
10;7
10;8
11;8
12;8
14;8
13;8
15;8
12;9
12;10
12;11
13;11
13;10
13;9
9;10
9;17
10;17
10;16
10;15
10;14
10;13
10;12
10;11
10;10
9;11
9;12
9;13
9;14
9;15
9;16
11;13
11;14
12;13
13;13
13;14
12;14
12;16
13;16
13;17
12;17
12;18
12;19
11;19
10;19
9;19
9;20
10;20
11;20
12;20
13;20
16;20
16;19
15;19
14;19
13;19
14;20
15;20
13;18
18;0
18;1
18;2
18;3
18;4
18;5
19;5
20;5
21;5
22;5
22;4
22;3
22;2
22;1
22;0
33;0
32;0
31;0
30;0
29;0
28;0
27;0
26;0
25;0
24;0
23;0
18;22
18;24
18;23
18;25
18;26
18;27
19;22
20;22
21;22
22;22
22;23
22;24
22;25
22;26
22;27
33;27
32;27
31;27
30;27
29;27
28;27
27;27
26;27
25;27
24;27
23;27
33;1
33;2
33;3
33;4
33;5
33;6
33;7
33;8
33;9
33;10
33;11
33;12
33;13
33;14
33;15
33;16
33;17
33;18
33;19
33;20
33;21
33;22
33;23
33;24
33;25
33;26
18;7
18;8
22;7
22;8
21;8
20;8
19;8
19;7
20;7
21;7
18;19
18;20
22;20
22;19
21;19
20;19
19;19
19;20
20;20
21;20
21;17
22;17
22;16
22;15
22;14
22;13
22;12
22;11
22;10
21;10
21;11
21;12
21;13
21;14
21;15
21;16
19;10
19;11
19;12
19;13
19;14
19;15
19;16
19;17
15;17
16;17
17;17
18;17
15;15
15;16
15;12
15;11
15;10
16;10
17;10
18;10
23;13
24;13
25;13
25;14
24;14
23;14
24;16
25;16
25;20
24;20
24;19
24;18
24;17
25;17
25;18
25;19
24;11
25;11
25;10
25;9
25;8
25;7
24;7
24;8
24;9
24;10
24;5
25;5
25;4
25;3
25;2
24;2
24;3
24;4
26;5
27;5
28;5
28;4
27;4
26;4
28;2
27;2
27;1
28;1
30;2
31;2
28;13
28;14
31;13
31;14
30;14
30;13
28;10
28;12
28;11
28;17
28;15
28;16
24;22
24;23
24;24
24;25
25;25
25;24
25;23
25;22
26;22
26;23
27;23
27;22
28;22
28;23
27;26
27;25
28;25
28;26
30;25
31;25
28;10
28;11
30;24
31;24
31;23
30;23
30;22
27;20
27;19
28;19
28;20
29;20
29;19
30;19
30;20
31;20
31;19
30;21
31;21
31;22
30;3
30;4
30;5
30;6
30;7
29;7
28;7
27;7
27;8
28;8
29;8
30;8
31;8
31;7
31;6
31;5
31;4
31;3
31;14
31;13
30;13
28;13
27;10
27;11
27;12
27;13
27;14
27;15
27;16
27;17
29;14
29;13
30;9
30;10
30;11
31;11
31;10
31;9
30;16
31;16
31;17
31;18
30;18
30;17
